"","YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE"
"Onshore Construction",40,"Engineering & Construction","Mumbai",8.00636756765025,39,3.7,459,0.015
"RSM India",NA,"Other","Mumbai",NA,34,3.4,459,0.025
"Vishwa Samudra Engineering",55,"Engineering & Construction","Other",10.3089526606443,40,3.8,459,0.014
"Kalyani Technoforge",31,"Auto Components","Pune",6.62073965107352,17,3.7,458,0.018
"Gyan Dairy",38,"Other","Other",8.00636756765025,44,4,458,0.013
"Schindler Group",136,"Industrial Machinery","Pune",8.00636756765025,49,3.7,458,0.013
"Romsons Group Of Industries",21,"Other","Other",6.62073965107352,56,3.7,458,0.016
"Communications Test Design",86,"IT Services & Consulting","Bangalore / Bengaluru",6.62073965107352,48,3.8,458,0.017
"GHCL Limited",19,"Other","Other",6.62073965107352,29,3.8,458,0.015
"Dalmia Bharat Group",59,"Other","New Delhi",8.00636756765025,96,3.9,458,0.018
"Invesco",50,"Financial Services","Other",8.00636756765025,7,3.7,456,0.03
"Lite Bite Foods",29,"Other","New Delhi",8.00636756765025,24,4.3,456,0.012
"Mahanagar Gas",22,"Other","Mumbai",5.85936070647464,25,4.2,456,0.021
"MR.DIY",5,"Other","Mumbai",8.00636756765025,77,3.4,456,0.013
"British Council",29,"Education & Training","New Delhi",8.00636756765025,23,3.5,455,0.02
"TriGeo Technologies",44,"IT Services & Consulting","Other",8.00636756765025,5,3.2,455,0.018
"ZEISS India",39,"Industrial Machinery","Bangalore / Bengaluru",6.62073965107352,33,3.6,455,0.025
"Orcapod Consulting Services",17,"IT Services & Consulting","Other",5.85936070647464,20,3.2,454,0.018
"Prism Cement",21,"Other","Other",8.00636756765025,77,3.8,454,0.012
"Ppap Automotive",30,"Auto Components","Other",8.00636756765025,17,3.8,454,0.017
"Quinnox",11,"IT Services & Consulting","Bangalore / Bengaluru",8.00636756765025,8,3.8,454,0.033
"Almarai",46,"Other","Other",8.00636756765025,41,4.2,453,0.0081
"Bahwan Engineering",NA,"Engineering & Construction","Other",6.62073965107352,22,4.1,453,0.00955
"Suzlon Global Services",37,NA,"Other",8.00636756765025,NA,3.8,454,0.013
"Avaada Energy",49,"Other","Other",4.83230575857184,61,4.2,454,0.018
"Sri Krishna Pharmaceuticals",20,"Pharma","Other",8.00636756765025,15,3.9,453,0.017
"Indian Bank",14,"Other","Chennai",6.62073965107352,101,3.4,452,0.018
"MindGate Solutions",46,"IT Services & Consulting","Mumbai",5.85936070647464,10,3.3,452,0.029
"Keysight Technologies",14,"Other","Other",6.62073965107352,12,3.9,452,0.025
"Sayaji Hotels",164,"Other","Other",8.00636756765025,34,4.1,452,0.01
"Think Gas Ludhiana",23,"Other","Chennai",10.3089526606443,48,3.6,452,0.021
"BharatPe",NA,"Other","Other",NA,74,3.5,452,0.025
"Alpla",9,"Other","Other",8.00636756765025,24,3.9,452,0.017
"Addverb Technologies",38,"Other","Other",8.00636756765025,21,3.8,452,0.021
"Ascent Business Solutions",39,"Other","Other",8.00636756765025,14,3.2,451,0.025
"Sulekha.com",157,"Internet","Chennai",6.62073965107352,19,3.6,450,0.017
"OLX Autos",NA,NA,"Other",10.3089526606443,NA,3.9,450,0.014
"smartData Enterprises",52,"IT Services & Consulting","Other",4.83230575857184,12,3.1,450,0.016
"Amara Raja Infra",25,"Engineering & Construction","Other",8.00636756765025,47,4,451,0.013
"Tata International",4,"Other","Mumbai",5.85936070647464,39,3.4,450,0.021
"MagicPin",16,"Internet","Other",8.00636756765025,19,2.6,450,0.018
"Cosmo Films",31,"Other","Other",8.00636756765025,13,3.7,450,0.02
"ByteDance",7,"Internet","Other",4.83230575857184,14,4,450,0.022
"Flowserve",26,"Industrial Machinery","Bangalore / Bengaluru",6.62073965107352,15,3.8,449,0.032
"Leighton Contractors",15,"Engineering & Construction","Mumbai",8.9226582995244,20,4.1,449,0.01
"Oriental Structural Engineers",30,"Engineering & Construction","New Delhi",8.00636756765025,59,4.2,449,0.012
"Grindwell Norton",87,"Industrial Machinery","Bangalore / Bengaluru",8.9226582995244,41,3.6,449,0.017
"Landis+Gyr",80,"Other","Other",8.00636756765025,10,3,450,0.027
"Kellton",32,"IT Services & Consulting","Other",8.00636756765025,19,2.9,449,0.034
"Stylebaazar",11,"Other","Other",8.00636756765025,89,4,449,0.00967
"Thought Focus",23,"IT Services & Consulting","Bangalore / Bengaluru",6.62073965107352,11,3.4,449,0.033
"NKG Infrastructure",NA,"Engineering & Construction","New Delhi",6.62073965107352,45,3.2,449,0.014
"Orient Craft",41,"Other","Other",8.9226582995244,14,3.5,448,0.014
"Dana India",25,"Auto Components","Pune",8.00636756765025,24,4,448,0.017
"Iksula",12,"IT Services & Consulting","Mumbai",8.00636756765025,11,3.3,448,0.02
"Subex",13,"Software Product","Bangalore / Bengaluru",8.00636756765025,10,3.3,448,0.031
"Revent Group",14,"Auto Components","Other",5.85936070647464,31,3.8,448,0.00678
"Visaka Industries",42,"Other","Other",8.00636756765025,57,3.8,448,0.016
"Meghmani Organics",13,"Other","Other",6.62073965107352,26,3.6,448,0.022
"Buzzworks Business Services",33,"Other","Chennai",8.00636756765025,65,3.7,448,0.019
"GD Goenka Public School",115,"Education & Training","New Delhi",6.62073965107352,69,3.2,448,0.012
"Walkaroo International",18,NA,"Other",8.00636756765025,NA,3.6,448,0.021
"Mikuni",24,"Auto Components","Other",8.00636756765025,16,4.1,448,0.014
"Par Pharmaceutical Companies",17,"Pharma","Other",5.85936070647464,11,4.3,448,0.02
"Atomberg Technologies",29,"Other","Pune",8.00636756765025,56,3.8,448,0.021
"Visa",18,"Other","Bangalore / Bengaluru",5.85936070647464,17,3.3,448,0.058
"Numeric UPS",46,"Other","Chennai",8.00636756765025,75,3.9,447,0.011
"Matrix Business Services",41,"Other","Chennai",6.62073965107352,22,3.4,448,0.019
"Bridgestone India Automotive Products",10,"Auto Components","Other",NA,45,4,448,0.022
"Novotel Hotels",26,"Other","Mumbai",6.62073965107352,31,4,447,0.012
"Star Bazaar",NA,"Other","Mumbai",NA,41,3.9,446,0.014
"Voya India",27,"Financial Services","Bangalore / Bengaluru",8.00636756765025,10,3.7,447,0.027
"Del Monte Foods",13,"Other","Other",6.62073965107352,57,3.9,446,0.015
"Premier Energies",10,"Other","Other",6.62073965107352,22,4.1,447,0.018
"Ramco Industries",53,"Other","Chennai",5.85936070647464,74,4.1,446,0.017
"ASM Technologies",27,"Engineering & Construction","Bangalore / Bengaluru",8.00636756765025,21,3.7,446,0.032
"C-Edge Technologies",18,"IT Services & Consulting","Mumbai",8.00636756765025,20,3.8,446,0.025
"T.v. Sundram Iyengar & Sons",53,"Other","Chennai",8.00636756765025,78,4,445,0.011
"FNP",16,"Other","New Delhi",5.85936070647464,16,3.3,445,0.023
"Gulf Oil Lubricants",120,"Other","Mumbai",8.00636756765025,79,4,445,0.016
"Vindhya e-Info Media",27,"Other","Bangalore / Bengaluru",8.00636756765025,16,3.5,445,0.011
"Brainvire",45,"IT Services & Consulting","Other",8.00636756765025,10,2.9,445,0.015
"Karvy Data Management",68,NA,"Other",8.00636756765025,NA,3,445,0.00835
"Teradata",12,"Software Product","Other",5.85936070647464,10,3.8,444,0.035
"Micron Technology",38,"Other","Other",6.62073965107352,15,3.6,444,0.04
"Anthem Biosciences",5,"Pharma","Bangalore / Bengaluru",5.85936070647464,13,3.9,444,0.026
"MathCo",41,"Other","Bangalore / Bengaluru",5.85936070647464,7,3.1,445,0.026
"Iol Chemicals & Pharmaceuticals",16,"Pharma","Other",8.00636756765025,14,3.8,444,0.018
"Jumbotail Technologies",NA,"Other","Bangalore / Bengaluru",8.00636756765025,29,3.6,444,0.016
"Honda Logistics",33,"Other","Other",8.00636756765025,27,3.7,443,0.015
"Gilbarco Veeder Root",29,"Industrial Machinery","Mumbai",8.00636756765025,57,3.8,443,0.02
"Epiroc",5,"Industrial Machinery","Bangalore / Bengaluru",5.85936070647464,27,4,443,0.022
"Avery Dennison",52,"Other","Bangalore / Bengaluru",6.62073965107352,32,3.7,442,0.019
"GS Lab",38,"IT Services & Consulting","Pune",8.9226582995244,8,3.7,442,0.036
"L. N. Malviya Infra Projects Group",41,"Engineering & Construction","Other",8.00636756765025,119,3.2,441,0.012
"Kaar Tech",29,"IT Services & Consulting","Chennai",5.85936070647464,12,3.9,441,0.019
"Liberty General Insurance",35,"Other","Mumbai",8.00636756765025,84,3.7,441,0.018
"Symphony",36,"Other","Other",8.00636756765025,85,4.7,441,0.01
"Fynd",117,"Software Product","Mumbai",10.3089526606443,11,3.2,441,0.021
"Lakme",21,"Other","Mumbai",6.62073965107352,74,4.1,441,0.015
"Vijai Electricals",40,"Other","Other",6.62073965107352,44,3.9,440,0.013
"Thales",32,"IT Services & Consulting","Other",6.62073965107352,18,3.6,440,0.032
"Namaste India Foods",48,"Other","Other",5.85936070647464,40,3.9,440,0.012
"India Glycols",30,"Other","Other",6.62073965107352,24,4,440,0.018
"Encube Ethicals",11,"Pharma","Mumbai",8.00636756765025,27,3.7,440,0.022
"Saxo Bank",12,"Other","Other",6.62073965107352,5,3.7,439,0.024
"Aimil Pharmaceuticals",57,"Pharma","New Delhi",8.00636756765025,54,3.5,439,0.018
"SPAR Hypermarkets",54,"Other","Bangalore / Bengaluru",8.00636756765025,30,3.9,439,0.013
"Sany Heavy Industry",21,"Industrial Machinery","Pune",8.00636756765025,55,3.7,439,0.018
"InCred Finance",27,"Other","Mumbai",8.00636756765025,61,3.8,440,0.023
"Flamingo Pharmaceuticals",7,"Pharma","Mumbai",5.85936070647464,12,3.2,441,0.018
"Tetra Pak",30,"Other","Pune",6.62073965107352,18,4,439,0.023
"CommScope",12,"Other","Bangalore / Bengaluru",5.85936070647464,20,3.8,439,0.03
"Vishvaraj Environment",40,"Other","Other",6.62073965107352,52,4,439,0.017
"Symbiotec Pharmalab",18,NA,"Other",8.00636756765025,NA,4,439,0.019
"Kandhari Beverages",37,"Other","Other",8.00636756765025,43,3.7,439,0.014
"Aparna Enterprises",23,"Other","Other",8.9226582995244,39,3.9,439,0.017
"Stovekraft",11,"Other","Bangalore / Bengaluru",6.62073965107352,55,4.1,439,0.017
"Nash Industries",NA,"Industrial Machinery","Bangalore / Bengaluru",NA,14,3.7,438,0.022
"Hitachi Systems",40,"IT Services & Consulting","Mumbai",6.62073965107352,37,3.9,440,0.022
"AVAYA",43,"Software Product","Pune",8.00636756765025,17,3.2,437,0.028
"Portea Medical",17,"Healthcare","Bangalore / Bengaluru",6.62073965107352,43,3.9,437,0.013
"Shalimar Paints",42,"Other","Other",8.00636756765025,81,3.4,437,0.015
"Greenpanel Industries",12,"Other","Other",8.00636756765025,68,3.9,437,0.018
"Reshamandi",159,"Other","Bangalore / Bengaluru",5.85936070647464,34,3.4,436,0.00586
"Paharpur Cooling Towers",42,"Industrial Machinery","Other",8.00636756765025,50,4,436,0.018
"KRBL",48,"Other","Other",8.00636756765025,51,3.9,436,0.015
"SMEC",78,"Real Estate","Bangalore / Bengaluru",8.00636756765025,64,3.7,436,0.014
"Akamai Technologies",10,"Software Product","Bangalore / Bengaluru",8.00636756765025,6,4.4,436,0.037
"Pratham Education Foundation",29,"Education & Training","New Delhi",6.62073965107352,104,4.1,436,0.00909
"Venky's",32,"Other","Pune",8.00636756765025,68,3.7,436,0.014
"Knowledgeworks Global",20,"Other","Mumbai",8.00636756765025,13,3,436,0.02
"Godrej Interio",28,"Other","Mumbai",4.83230575857184,66,3.8,435,0.019
"Red Hat",13,"Software Product","Pune",5.85936070647464,14,4.4,435,0.035
"IL&FS Engineering and Construction",27,"Engineering & Construction","Other",6.62073965107352,52,4.5,435,0.00932
"Signature Global",12,"Real Estate","Other",8.00636756765025,13,3.9,435,0.02
"ESDS Software Solutions",64,"IT Services & Consulting","Other",4.83230575857184,15,3.7,436,0.028
"MediBuddy",55,"Healthcare","Bangalore / Bengaluru",8.9226582995244,18,3.4,435,0.022
"ITI",118,"Other","Bangalore / Bengaluru",6.62073965107352,84,3.7,434,0.014
"Torrent Gas",30,"Other","Other",8.00636756765025,31,3.1,434,0.022
"Jindal Power",18,"Other","Other",6.62073965107352,34,4.2,434,0.015
"Usha Martin",14,"Other","Other",6.62073965107352,28,3.9,433,0.013
"Allied Blenders & Distillers",25,"Other","Mumbai",6.62073965107352,79,4.1,434,0.015
"Samsung Display",27,"Other","Other",5.85936070647464,11,3.8,433,0.02
"Ergode IT Services",64,"IT Services & Consulting","Mumbai",8.00636756765025,11,3.3,433,0.014
"Allana Group of Companies",27,"Other","Mumbai",6.62073965107352,40,3.8,433,0.014
"RKTC Infratech",32,NA,"Other",8.00636756765025,NA,NA,NA,NA
"Kaya Skin Clinic",5,"Other","Mumbai",6.62073965107352,36,3.6,432,0.011
"Seoyon E-hwa Automotive",42,"Auto Components","Chennai",8.00636756765025,19,3.5,432,0.022
"BSCPL Infrastructure",67,"Engineering & Construction","Other",6.62073965107352,48,3.9,433,0.013
"Dharampal Premchand",40,"Other","Other",5.85936070647464,64,4.3,432,0.013
"Equiniti",124,"Financial Services","Chennai",8.9226582995244,4,3.7,433,0.03
"Athenahealth Technology",NA,"Other","Chennai",8.00636756765025,9,4,432,0.038
"Technico Industries",40,"Auto Components","Other",5.85936070647464,19,3.6,432,0.018
"RPG Life Sciences",26,"Pharma","Other",6.62073965107352,45,3.7,431,0.015
"Gopal Snacks Limited",15,"Other","Other",8.00636756765025,96,4.2,431,0.012
"SABIC",10,"Other","Bangalore / Bengaluru",6.62073965107352,21,4.2,431,0.014
"Khadims",8,"Other","Other",8.00636756765025,64,3.7,431,0.013
"SBI Mutual Fund",57,"Financial Services","Mumbai",8.9226582995244,143,3.8,431,0.017
"Aker Solutions",39,"Engineering & Construction","Pune",8.00636756765025,9,4,430,0.022
"Sahyadri Hospital",38,"Healthcare","Pune",6.62073965107352,11,4.2,430,0.013
"LogixHealth",48,"Other","Bangalore / Bengaluru",4.83230575857184,9,3.5,430,0.021
"Bluestone.com",44,"Other","Bangalore / Bengaluru",8.00636756765025,59,3.5,430,0.019
"K D Hospital",40,"Healthcare","Other",8.00636756765025,8,4.6,430,0.00333
"Self Practice",78,"Other","New Delhi",5.85936070647464,124,4.4,429,0.06
"Atyati Technologies",NA,"IT Services & Consulting","Bangalore / Bengaluru",NA,91,3.9,429,0.014
"WM Universal Solutions Private Limited",151,"Other","Other",8.00636756765025,17,3.7,429,0.02
"Railtel Corporation Of India",21,"Other","New Delhi",6.62073965107352,70,3.6,429,0.019
"CWT",34,"Other","New Delhi",8.00636756765025,13,3.5,429,0.015
"CollegeDekho",23,"Other","Other",6.62073965107352,23,2.8,430,0.023
"Balmer Lawrie",35,"Other","Other",8.00636756765025,34,3.7,429,0.018
"Protium Finance",9,"Financial Services","Mumbai",NA,72,3.9,429,0.018
"Franchise India Brands",12,"Other","New Delhi",5.85936070647464,28,2,428,0.013
"St. Xavier's High School",53,"Education & Training","Other",4.83230575857184,121,3.6,428,0.014
"Cera Sanitaryware",101,"Other","Other",8.00636756765025,73,4.1,428,0.016
"Cloud4C",95,"IT Services & Consulting","Other",5.85936070647464,8,3.5,428,0.028
"In Time Tec Visionsoft",27,"IT Services & Consulting","Other",5.85936070647464,10,3.5,428,0.023
"JNS Instruments",46,"Industrial Machinery","Other",6.62073965107352,22,3.9,428,0.018
"Nagarjuna Fertilizers and Chemicals",14,"Other","Other",8.00636756765025,68,4.1,427,0.013
"Capital Foods",15,"Other","Mumbai",8.00636756765025,72,4.2,427,0.013
"Clix Capital Services",18,"Other","Other",8.00636756765025,36,4,427,0.015
"Corona Remedies",12,"Pharma","Other",8.00636756765025,67,4.1,427,0.013
"Loadshare Networks",109,"Other","Bangalore / Bengaluru",8.00636756765025,66,3.5,427,0.016
"NR Switch N Radio Services",5,"Other","New Delhi",8.9226582995244,72,3.8,426,0.011
"PULSUS HealthTech Group",55,"Other","Other",8.00636756765025,8,3.3,426,0.013
"ZTE Corporation",89,"Other","Other",8.00636756765025,45,3.9,426,0.012
"Educomp Solutions",148,"Other","Other",10.3089526606443,112,3.5,426,0.00652
"FabHotels",NA,"Other","Other",NA,32,3.2,426,0.02
"GM Modular",45,"Other","Mumbai",8.00636756765025,69,3.7,426,0.017
"Bharat Bijlee",23,"Other","Mumbai",6.62073965107352,22,4.2,425,0.015
"Reliance Infrastructure",64,"Engineering & Construction","Mumbai",8.00636756765025,61,3.9,425,0.019
"Dodsal Engineering & Construction",14,"Engineering & Construction","Mumbai",5.85936070647464,37,4.5,425,0.0068
"Ciena",123,"Other","Other",6.62073965107352,11,4.1,425,0.03
"Indofil Industries",41,"Other","Other",5.85936070647464,51,4,425,0.018
"Common Service Centres",22,"Other","New Delhi",8.00636756765025,172,4.4,424,0.011
"5paisa Capital Ltd.",55,"Financial Services","Mumbai",10.3089526606443,9,3.6,424,0.015
"Deluxe Entertainment",18,"Other","Bangalore / Bengaluru",8.00636756765025,11,3.5,424,0.024
"Allegis Group",30,"Other","Bangalore / Bengaluru",8.00636756765025,13,3.7,423,0.027
"Aludecor Lamination",26,"Other","Other",8.00636756765025,45,3.9,423,0.015
"Gaurs Group",33,"Real Estate","Other",4.83230575857184,13,4.2,423,0.014
"Kolte Patil Developers",22,"Real Estate","Pune",8.00636756765025,9,4,423,0.018
"Mediterranean Shipping Company",27,"Other","Chennai",6.62073965107352,34,4,422,0.022
"Eurokids",37,"Education & Training","Mumbai",6.62073965107352,71,4,422,0.013
"Jindal Aluminium",35,"Other","Bangalore / Bengaluru",8.00636756765025,20,3.8,422,0.018
"Bhilosa Industries",9,"Other","Other",5.85936070647464,11,3.8,422,0.021
"Puravankara",NA,"Real Estate","Bangalore / Bengaluru",NA,13,3.5,422,0.019
"Spoton Logistics",15,"Other","Bangalore / Bengaluru",8.9226582995244,72,4.4,422,0.011
"Aptech",17,"Education & Training","Mumbai",5.85936070647464,72,3.5,422,0.017
"ARMSOFTECH.AIR",NA,"IT Services & Consulting","Chennai",5.85936070647464,15,3.2,422,0.014
"NAV Backoffice",34,"Other","Other",6.62073965107352,9,3.4,421,0.022
"ELGI Equipments",39,"Industrial Machinery","Other",10.3089526606443,29,4.1,421,0.019
"Stryker",17,"Other","Other",8.00636756765025,23,4,421,0.031
"Kothari Agritech",67,"Other","Other",10.3089526606443,124,4.4,421,0.00652
"Reliance Capital",14,"Financial Services","Mumbai",5.85936070647464,86,3.7,420,0.019
"Le M?ridien",54,"Other","New Delhi",6.62073965107352,27,4.2,422,0.011
"Infosys Consulting",48,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,28,3.4,420,0.037
"Texmaco Rail and Engineering",NA,"Engineering & Construction","Other",3.41772668361337,47,3.8,420,0.017
"CodeClouds",15,"Software Product","Other",6.62073965107352,6,4.2,421,0.011
"Yusen Logistics",NA,"Other","Mumbai",NA,35,4,419,0.017
"Bada Business",21,"Internet","New Delhi",5.85936070647464,54,3.5,419,0.016
"Hyundai Glovis",18,"Other","Other",8.00636756765025,20,3.7,419,0.018
"CS TECH Ai",26,"IT Services & Consulting","Other",8.9226582995244,44,3.8,419,0.014
"DesignTech Systems",115,"IT Services & Consulting","Pune",8.00636756765025,33,3.3,419,0.019
"Al Turki Enterprises",42,"Other","Other",8.00636756765025,16,3.6,418,0.00959
"ZF Friedrichshafen",39,"Auto Components","Chennai",6.62073965107352,16,3.8,418,0.019
"Speridian Technologies",8,"IT Services & Consulting","Bangalore / Bengaluru",8.00636756765025,20,3.4,418,0.03
"Miracle Software Systems",17,"IT Services & Consulting","Other",8.9226582995244,10,4,418,0.019
"Jupiter Hospital",152,"Healthcare","Pune",8.00636756765025,14,3.9,418,0.015
"Clove Dental",91,"Healthcare","New Delhi",10.3089526606443,17,4,418,0.012
"Mahle Anand Thermal Systems",50,"Auto Components","Pune",6.62073965107352,15,4,417,0.015
"ABCI Infrastructures",40,"Engineering & Construction","Other",5.85936070647464,53,3.4,417,0.054
"Henkel Adhesives Technologies",40,"Other","Pune",5.85936070647464,27,4.1,417,0.019
"Entrata",20,"Software Product","Pune",8.00636756765025,5,4,416,0.023
"MKC Infrastructure Ltd.",94,"Engineering & Construction","Other",5.85936070647464,46,3.6,416,0.013
"SISL Infotech",29,"IT Services & Consulting","New Delhi",5.85936070647464,39,3.5,416,0.023
"Mjunction Services",36,"IT Services & Consulting","Other",5.85936070647464,30,4,416,0.018
"KSB Limited - Irrigation & Process Division (IPD)",134,"Industrial Machinery","Pune",6.62073965107352,31,3.8,416,0.022
"Fuji Electric",70,"Industrial Machinery","Chennai",8.00636756765025,37,3.6,416,0.017
"Eurofins It Solutions",42,"IT Services & Consulting","Bangalore / Bengaluru",8.00636756765025,6,3.1,416,0.033
"B.C. Jindal Group of Companies",32,"Other","New Delhi",10.3089526606443,32,4,416,0.01
"Honeywell International India",30,"Other","Pune",4.83230575857184,23,3.9,416,0.025
"Magus Customer Dialog",10,"Other","Other",10.3089526606443,18,3.7,415,0.00815
"TotalEnergies",NA,"Other","Mumbai",NA,62,3.8,415,0.016
"Medica Superspecialty Hospital",20,"Healthcare","Other",6.62073965107352,18,3.8,415,0.015
"Synopsys",40,"Other","Bangalore / Bengaluru",8.00636756765025,10,3.8,415,0.033
"ABC Consultants",17,"Other","Bangalore / Bengaluru",5.85936070647464,28,3.9,415,0.229
"Majesco",26,"IT Services & Consulting","Mumbai",6.62073965107352,8,3,415,0.033
"Bharat Seats",20,"Auto Components","Other",4.83230575857184,18,3.8,415,0.015
"Recpdcl.ltd",19,"Other","New Delhi",5.85936070647464,67,4,414,0.00853
"BrightCHAMPS",NA,"Other","Bangalore / Bengaluru",NA,27,3.6,417,0.011
"Kyungshin Industrial Motherson",13,"Other","Chennai",6.62073965107352,17,3.4,415,0.021
"Alankit",13,"Financial Services","New Delhi",6.62073965107352,38,3.3,415,0.012
"Kataria Automobiles",40,"Other","Other",6.62073965107352,26,3.6,414,0.014
"Black Knight",38,"IT Services & Consulting","Other",8.00636756765025,4,3.6,413,0.027
"Sunwoda Electronic India Pvt Ltd",39,"Other","Other",8.00636756765025,5,3.9,413,0.019
"Samsung C&T",7,"Engineering & Construction","Mumbai",6.62073965107352,27,4.2,413,0.013
"Montecarlo Construction",20,"Engineering & Construction","Other",8.00636756765025,79,4.2,413,0.013
"Realme",17,"Other","Other",8.00636756765025,95,3.8,413,0.014
"NetApp",136,"IT Services & Consulting","Bangalore / Bengaluru",6.62073965107352,9,3.7,412,0.039
"Meyer Organics",83,"Pharma","Mumbai",8.00636756765025,68,3.6,412,0.014
"Powerweave",10,"Other","Mumbai",6.62073965107352,7,3.2,412,0.017
"Paper Boat(Hector Beverages Pvt. Ltd.)",9,"Other","Bangalore / Bengaluru",5.85936070647464,97,4,412,0.012
"Gokaldas Exports",11,"Other","Bangalore / Bengaluru",8.00636756765025,23,3.8,411,0.016
"SoftwareOne",132,"Software Product","Other",8.00636756765025,18,3.7,411,0.034
"ArisGlobal",50,"IT Services & Consulting","Bangalore / Bengaluru",8.00636756765025,9,2.9,411,0.029
"Transasia Bio-Medicals",23,"Other","Mumbai",8.00636756765025,54,3.3,411,0.017
"Kaynes Technology",30,"Other","Other",8.00636756765025,17,3.4,411,0.015
"National Australia Bank",73,"Other","Other",6.62073965107352,8,3,412,0.029
"AQM Technologies",4,"IT Services & Consulting","Mumbai",5.85936070647464,13,3.3,411,0.031
"Indian Immunologicals",56,"Other","Other",8.00636756765025,29,4.2,410,0.016
"Toyota",69,"Other","Bangalore / Bengaluru",6.62073965107352,103,4.2,410,0.017
"Ind-Swift Laboratories",35,"Pharma","Other",6.62073965107352,25,3.9,410,0.016
"Ramada",19,"Other","Mumbai",5.85936070647464,57,3.9,410,0.01
"Brembo Brake India",17,"Auto Components","Pune",6.62073965107352,16,4.1,410,0.015
"RND Softech",39,"Other","Other",8.00636756765025,10,3,411,0.017
"Mashreq Global Services",63,"Financial Services","Bangalore / Bengaluru",10.3089526606443,10,3.1,410,0.023
"AIRBUS",74,"Other","Bangalore / Bengaluru",8.00636756765025,10,3.6,409,0.041
"Espire Infolabs",NA,"IT Services & Consulting","Other",NA,10,2.7,409,0.024
"GTL Infrastructure",60,"Other","Mumbai",8.00636756765025,48,4.2,409,0.00856
"Regency Hospital Ltd",22,"Healthcare","Other",NA,16,4.1,409,0.013
"Secure Value",NA,"IT Services & Consulting","Mumbai",5.85936070647464,81,3.3,408,0.00924
"Mahindra Lifespace Developers",29,"Real Estate","Mumbai",8.00636756765025,23,4.1,409,0.017
"Confidence Petroleum India",38,"Other","Other",5.85936070647464,50,2.9,408,0.016
"Ashapura Group Of Industries",23,"Other","Other",8.00636756765025,30,4.1,408,0.017
"Cimpress",21,"Other","Mumbai",6.62073965107352,9,3.8,408,0.026
"TTK Healthcare",32,"Healthcare","Chennai",8.00636756765025,78,4.1,408,0.013
"Chettinad Cements",27,"Other","Chennai",6.62073965107352,60,3.9,408,0.019
"Paradeep Phosphates",9,"Other","Other",6.62073965107352,45,3.9,407,0.013
"Tata Steel Downstream Products",12,"Other","Other",6.62073965107352,38,3.6,407,0.014
"Lambda Therapeutic Research",NA,"Other","Other",NA,8,4.2,407,0.014
"AIG Hospital",19,"Healthcare","Other",8.00636756765025,5,4.3,408,0.015
"Vcare Trichology",24,"Healthcare","Chennai",6.62073965107352,60,3.6,407,0.018
"Indian Political Action Committee",23,"Other","Other",8.00636756765025,20,2.8,407,0.017
"Grant Thornton Bharat",27,"Other","Other",5.85936070647464,33,3.6,407,0.021
"Aditya Birla Housing Finance",51,"Financial Services","Mumbai",6.62073965107352,89,3.8,407,0.015
"Kutchina",13,"Other","Other",6.62073965107352,65,3.5,407,0.012
"Flipkart Health+",36,"Internet","Other",6.62073965107352,36,3.5,406,0.015
"LT Foods",20,"Other","Other",4.83230575857184,60,3.9,407,0.015
"Calsoft",28,"IT Services & Consulting","Pune",5.85936070647464,6,2.9,406,0.035
"Rieter",28,"Industrial Machinery","Pune",8.00636756765025,14,3.6,406,0.022
"Moon Beverages",160,"Other","New Delhi",8.00636756765025,32,3.9,406,0.014
"Siyaram Silk Mills",11,"Other","Mumbai",4.83230575857184,37,4.1,406,0.014
"Tally Solutions",6,"Software Product","Bangalore / Bengaluru",NA,66,4,405,0.022
"Havmor Ice Cream",29,"Other","Other",5.85936070647464,69,4,405,0.012
"LuLu Group International",NA,"Other","Other",5.85936070647464,39,3.6,406,0.021
"Pole To Win",30,"Other","Bangalore / Bengaluru",8.00636756765025,9,3.4,404,0.02
"Rakuten Symphony",72,"Other","Other",5.85936070647464,7,3.5,404,0.034
"India Nippon Electricals",48,"Other","Other",8.00636756765025,25,3.9,404,0.015
"Accel Frontline",89,"IT Services & Consulting","Chennai",8.00636756765025,56,4.1,403,0.00751
"Talbros",26,"Auto Components","Other",6.62073965107352,24,3.8,403,0.016
"NTPC GE Power Services",17,"Other","Other",8.00636756765025,28,3.9,403,0.014
"Essar Group",46,"Engineering & Construction","Mumbai",5.85936070647464,45,3.7,402,0.017
"National Organic Chemical Industries",13,"Other","Other",8.00636756765025,13,3.9,402,0.018
"Go Colors",49,"Other","Chennai",6.62073965107352,66,3.9,402,0.00903
"Yethi Consulting",23,"IT Services & Consulting","Bangalore / Bengaluru",8.00636756765025,11,3.4,402,0.029
"Dee Piping System",29,"Engineering & Construction","Other",5.85936070647464,19,4.1,402,0.015
"TRINAMIX",90,"IT Services & Consulting","Pune",5.85936070647464,5,4.4,402,0.00858
"National Bulk Handling Corporation",33,"Other","Mumbai",8.00636756765025,74,4,402,0.011
"Penna Cement Industries",6,"Other","Other",8.00636756765025,47,4.1,401,0.016
"Bengal Beverages",24,"Other","Other",8.00636756765025,13,3,401,0.013
"Karvy DigiKonnect",9,"Financial Services","Other",6.62073965107352,20,3.1,401,0.013
