"","YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE"
"Sun Pharmaceutical Industries",172,"Pharma","Other",10.3089526606443,260,4.1,7200,0.229
"JSW Steel",72,"Other","Other",10.3089526606443,186,3.9,7100,0.297
"Hexaware Technologies",NA,"IT Services & Consulting","Chennai",10.3089526606443,67,3.5,7100,0.514
"L&T Construction",13,"Engineering & Construction","Chennai",10.3089526606443,422,4,7000,0.188
"Lupin",80,"Pharma","Pune",8.9226582995244,199,4.1,7000,0.222
"Zydus Lifesciences",24,"Pharma","Other",11.2252433925184,172,4,6900,0.196
"Hindustan Unilever",41,"Other","Mumbai",10.3089526606443,517,4.2,6900,0.198
"Equitas Small Finance Bank",152,"Other","Chennai",10.3089526606443,444,4.3,6800,0.127
"KPMG India",56,"Other","Bangalore / Bengaluru",10.3089526606443,106,3.4,6700,0.612
"ITC",8,"Other","Bangalore / Bengaluru",8.00636756765025,368,3.9,6700,0.237
"Ekart Logistics",49,NA,"Other",10.3089526606443,NA,3.9,6700,0.152
"Ujjivan Small Finance Bank",29,"Other","Bangalore / Bengaluru",10.3089526606443,517,4,6600,0.122
"Axis Max Life Insurance",34,"Other","New Delhi",10.3089526606443,484,4,6600,0.196
"Megha Engineering & Infrastructures",42,"Engineering & Construction","Other",10.3089526606443,394,3.9,6400,0.178
"Tata Projects",7,"Engineering & Construction","Mumbai",10.3089526606443,275,4.2,6300,0.219
"FIS",85,"Other","Pune",10.3089526606443,60,3.9,6200,0.385
"L&T Technology Services",24,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,94,3.1,6100,0.41
"Coforge",38,"IT Services & Consulting","Other",10.3089526606443,105,3.2,6100,0.46
"IIFL Finance",37,"Other","Mumbai",10.3089526606443,787,4,6000,0.138
"Bajaj Life Insurance",159,"Other","Pune",8.9226582995244,594,3.9,6000,0.166
"Oracle",45,"Software Product","Bangalore / Bengaluru",8.9226582995244,56,3.5,6000,0.602
"Indian Army",12,"Other","New Delhi",10.3089526606443,358,4.7,6000,0.095
"HCL Group",47,"IT Services & Consulting","Chennai",11.2252433925184,96,3.5,6000,0.41
"JLL",24,"Real Estate","Other",10.3089526606443,83,4.1,5900,0.233
"Omega Healthcare",41,"Other","Chennai",10.3089526606443,67,3.7,5900,0.253
"Muthoot Finance",76,"Other","Bangalore / Bengaluru",8.9226582995244,757,3.6,5900,0.127
"Cholamandalam Investment & Finance",177,"Financial Services","Chennai",8.9226582995244,803,3.8,5800,0.12
"eClerx",27,"IT Services & Consulting","Pune",10.3089526606443,31,3.1,5800,0.305
"Virtusa Consulting Services",21,"IT Services & Consulting","Other",10.3089526606443,54,3.7,5700,0.554
"Udaan",35,"Internet","Bangalore / Bengaluru",8.9226582995244,367,4,5700,0.166
"HSBC Group",15,"Financial Services","Bangalore / Bengaluru",8.9226582995244,63,3.9,5600,0.413
"Indiamart Intermesh",28,"Internet","Other",10.3089526606443,168,3.6,5600,0.197
"DMart",23,"Other","Mumbai",10.3089526606443,242,3.9,5600,0.179
"Aurobindo Pharma",20,"Pharma","Other",10.3089526606443,114,4,5500,0.207
"Siemens",23,"Other","Bangalore / Bengaluru",10.3089526606443,150,4,5400,0.326
"Shapoorji Pallonji Group",40,"Engineering & Construction","Mumbai",8.9226582995244,187,4.1,5400,0.151
"SMFG India Credit",33,"Other","Mumbai",10.3089526606443,577,3.9,5400,0.112
"Standard Chartered",24,"Other","Chennai",10.3089526606443,68,3.6,5400,0.414
"BigBasket",33,"Internet","Bangalore / Bengaluru",10.3089526606443,136,3.9,5400,0.185
"CGI Group",20,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,43,4,5400,0.456
"Access Healthcare",13,"Healthcare","Chennai",10.3089526606443,58,3.7,5400,0.265
"GlobalLogic",23,"IT Services & Consulting","Other",10.3089526606443,59,3.5,5400,0.389
"ICICI Lombard General Insurance Company",28,"Other","Mumbai",8.9226582995244,305,3.6,5400,0.195
"Firstsource Solutions",48,"Other","Bangalore / Bengaluru",10.3089526606443,70,3.5,5400,0.235
"Manappuram Finance",28,"Other","Bangalore / Bengaluru",10.3089526606443,623,3.9,5300,0.091
"Apollo Hospitals",17,"Healthcare","Chennai",10.3089526606443,226,4,5300,0.162
"Mahindra Finance",45,"Other","Mumbai",8.9226582995244,714,3.9,5300,0.119
"Bosch Global Software Technologies",24,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,47,3.8,5300,0.387
"UST",75,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,49,3.7,5200,0.382
"Ashok Leyland",23,"Other","Chennai",10.3089526606443,244,4,5200,0.184
"Citicorp",9,"Financial Services","Pune",10.3089526606443,67,3.7,5200,0.5
"Cyient",26,"IT Services & Consulting","Other",8.00636756765025,44,3.6,5100,0.27
"PolicyBazaar",28,"Internet","Other",10.3089526606443,134,3.7,5100,0.166
"Hero MotoCorp",44,"Other","Other",8.9226582995244,359,4.1,5100,0.155
"Swiggy",27,"Internet","Bangalore / Bengaluru",10.3089526606443,226,3.7,5000,0.217
"JustDial",42,"Internet","Other",10.3089526606443,220,3.5,4900,0.154
"SBI Cards & Payment Services",15,"Financial Services","Other",8.00636756765025,427,3.6,4900,0.159
"Kalpataru Projects International",46,"Engineering & Construction","Mumbai",10.3089526606443,306,4.1,4900,0.133
"BNY",138,"Financial Services","Pune",8.9226582995244,25,3.7,4900,0.301
"IQVIA",22,"Other","Bangalore / Bengaluru",5.85936070647464,62,3.7,4800,0.299
"CBRE",17,"Real Estate","Other",10.3089526606443,91,4.1,4800,0.182
"TVS Motor",20,"Other","Other",10.3089526606443,336,3.9,4800,0.155
"SBI Life Insurance Company",25,"Other","Mumbai",10.3089526606443,637,3.7,4800,0.115
"vivo",12,"Other","Other",10.3089526606443,410,4.1,4700,0.128
"NTT Data",57,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,77,3.8,4700,0.34
"Persistent Systems",42,"IT Services & Consulting","Pune",10.3089526606443,42,3.6,4700,0.424
"Eviden",11,"IT Services & Consulting","Pune",8.00636756765025,37,3.6,4700,0.285
"Atos",118,"IT Services & Consulting","Pune",10.3089526606443,49,3.8,4700,0.336
"Nagarjuna Construction Company",NA,"Engineering & Construction","Other",11.9183905730784,281,4.1,4700,0.116
"State Bank of India",41,"Other","Mumbai",8.00636756765025,599,3.8,4700,0.11
"Schneider Electric",10,"Other","Bangalore / Bengaluru",8.9226582995244,117,4.1,4600,0.235
"Ecom Express",178,"Other","Other",10.3089526606443,756,4,4600,0.093
"Nagarro",12,"IT Services & Consulting","Other",10.3089526606443,48,3.9,4600,0.311
"Amdocs",23,"Software Product","Pune",10.3089526606443,22,3.7,4600,0.367
"Home Credit Finance",40,"Other","Other",10.3089526606443,134,4,4500,0.096
"JBM Group",26,"Auto Components","Other",8.9226582995244,110,3.9,4500,0.136
"KEC International",79,"Engineering & Construction","Mumbai",8.9226582995244,307,4,4500,0.128
"Piramal Capital Housing Finance",47,"Other","Mumbai",10.3089526606443,379,4.2,4400,0.095
"Varun Beverages",11,"Other","New Delhi",10.3089526606443,366,4,4400,0.117
"Bosch",79,"Auto Components","Bangalore / Bengaluru",8.9226582995244,122,4.2,4400,0.203
"Hewlett Packard Enterprise",4,"IT Services & Consulting","Bangalore / Bengaluru",8.00636756765025,103,4.1,4400,0.265
"EY Global Delivery Services ( EY GDS)",9,"Other","Bangalore / Bengaluru",10.3089526606443,54,3.5,4300,0.453
"OPPO",137,"Other","Other",10.3089526606443,398,3.9,4300,0.118
"Mahindra Logistics",123,"Other","Mumbai",8.9226582995244,231,3.7,4300,0.129
"Dell",30,"Other","Bangalore / Bengaluru",10.3089526606443,116,3.8,4300,0.284
"ITC Infotech",63,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,66,3.7,4300,0.287
"Aditya Birla Fashion and Retail",38,"Other","Bangalore / Bengaluru",8.9226582995244,282,4.1,4300,0.127
"L&T Finance",38,"Other","Mumbai",8.00636756765025,607,3.9,4300,0.115
"Randstad",66,"Other","Other",8.00636756765025,339,3.7,4200,0.157
"CARS24",24,"Internet","Other",10.3089526606443,171,3.5,4200,0.153
"R1 RCM",28,"Other","New Delhi",8.00636756765025,45,3.8,4200,0.204
"Intas Pharmaceuticals",29,"Pharma","Other",8.9226582995244,144,4.1,4200,0.168
"Hyundai Motor India Limited",23,"Other","Chennai",8.9226582995244,282,4.2,4200,0.134
"Havells",127,"Other","Other",10.3089526606443,245,3.9,4200,0.151
"Deutsche Bank",34,"Other","Pune",10.3089526606443,42,3.9,4200,0.348
