"","YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE"
"Shirdi Sai Electricals",20,"Other","Other",6.62073965107352,3.2188758248682,3.8,5.19295685089021,-5.11100826824304
"C-quel Management Services",8,"Other","Other",5.85936070647464,2.63905732961526,4.3,5.19295685089021,-6.18991548583182
"Mentorsity",45,"Other","New Delhi",8.00636756765025,2.39789527279837,4.5,5.19295685089021,-7.54263355141811
"Laminaar Aviation Infotech",22,"IT Services & Consulting","Bangalore / Bengaluru",8.00636756765025,1.6094379124341,2.6,5.18738580584075,-4.42284862919414
"Roots Multiclean",105,"Industrial Machinery","Other",5.85936070647464,3.2188758248682,4.1,5.18738580584075,-4.61623113334752
"BookMyShow",118,"Internet","Mumbai",8.00636756765025,2.56494935746154,3.9,5.18738580584075,-4.42284862919414
"Ester Industries",NA,"Other","Other",4.83230575857184,2.30258509299405,3.9,5.18738580584075,-4.87435767580371
"Techmagnate",23,"Other","New Delhi",8.00636756765025,1.6094379124341,4.1,5.18738580584075,-4.92675381011555
"Hubergroup",20,"Other","Other",6.62073965107352,2.63905732961526,3.9,5.18738580584075,-4.84469721655283
"The Chennai Silks",9,"Other","Other",5.85936070647464,3.04452243772342,3.4,5.18738580584075,-4.84724174718782
"i-Source Infosystems",17,"IT Services & Consulting","Pune",8.00636756765025,2.83321334405622,3.7,5.18738580584075,-4.84979276897942
