"YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE","logPACKAGE","logREVIEWS","logRATING","logBRANCHES"
117,"Financial Services","Bangalore / Bengaluru",11.9183905730784,54,3.9,7200,0.809,-0.211956361923645,8.88183630500415,1.3609765531356,3.98898404656427
17,"Other","Bangalore / Bengaluru",8.00636756765025,408,3.8,7200,0.145,-1.93102153656156,8.88183630500415,1.33500106673234,6.01126717440416
172,"Pharma","Other",10.3089526606443,260,4.1,7200,0.229,-1.4740332754279,8.88183630500415,1.41098697371026,5.56068163101553
72,"Other","Other",10.3089526606443,186,3.9,7100,0.297,-1.21402314017944,8.86785006302941,1.3609765531356,5.2257466737132
NA,"IT Services & Consulting","Chennai",10.3089526606443,67,3.5,7100,0.514,-0.665532013526972,8.86785006302941,1.25276296849537,4.20469261939097
13,"Engineering & Construction","Chennai",10.3089526606443,422,4,7000,0.188,-1.67131331615219,8.85366542803745,1.38629436111989,6.04500531403601
80,"Pharma","Pune",8.9226582995244,199,4.1,7000,0.222,-1.50507789710986,8.85366542803745,1.41098697371026,5.29330482472449
24,"Pharma","Other",11.2252433925184,172,4,6900,0.196,-1.62964061975162,8.83927669058535,1.38629436111989,5.14749447681345
41,"Other","Mumbai",10.3089526606443,517,4.2,6900,0.198,-1.6194882482876,8.83927669058535,1.43508452528932,6.24804287450843
152,"Other","Chennai",10.3089526606443,444,4.3,6800,0.127,-2.06356819252355,8.8246778911642,1.45861502269952,6.09582456243222
56,"Other","Bangalore / Bengaluru",10.3089526606443,106,3.4,6700,0.612,-0.491022996469811,8.80986280537906,1.22377543162212,4.66343909411207
8,"Other","Bangalore / Bengaluru",8.00636756765025,368,3.9,6700,0.237,-1.43969513784701,8.80986280537906,1.3609765531356,5.90808293816893
49,NA,"Other",10.3089526606443,NA,3.9,6700,0.152,-1.88387475813586,8.80986280537906,1.3609765531356,NA
29,"Other","Bangalore / Bengaluru",10.3089526606443,517,4,6600,0.122,-2.10373423424888,8.79482492801452,1.38629436111989,6.24804287450843
34,"Other","New Delhi",10.3089526606443,484,4,6600,0.196,-1.62964061975162,8.79482492801452,1.38629436111989,6.18208490671663
42,"Engineering & Construction","Other",10.3089526606443,394,3.9,6400,0.178,-1.72597172869005,8.76405326934776,1.3609765531356,5.97635090929793
7,"Engineering & Construction","Mumbai",10.3089526606443,275,4.2,6300,0.219,-1.51868354916564,8.74830491237962,1.43508452528932,5.61677109766657
85,"Other","Pune",10.3089526606443,60,3.9,6200,0.385,-0.954511944694353,8.73230457103318,1.3609765531356,4.0943445622221
24,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,94,3.1,6100,0.41,-0.891598119283784,8.7160440501614,1.1314021114911,4.54329478227
38,"IT Services & Consulting","Other",10.3089526606443,105,3.2,6100,0.46,-0.776528789498996,8.7160440501614,1.16315080980568,4.65396035015752
37,"Other","Mumbai",10.3089526606443,787,4,6000,0.138,-1.98050159382493,8.69951474821019,1.38629436111989,6.6682282484174
159,"Other","Pune",8.9226582995244,594,3.9,6000,0.166,-1.79576749062559,8.69951474821019,1.3609765531356,6.38687931936265
45,"Software Product","Bangalore / Bengaluru",8.9226582995244,56,3.5,6000,0.602,-0.507497833673316,8.69951474821019,1.25276296849537,4.02535169073515
12,"Other","New Delhi",10.3089526606443,358,4.7,6000,0.095,-2.3538783873816,8.69951474821019,1.54756250871601,5.8805329864007
47,"IT Services & Consulting","Chennai",11.2252433925184,96,3.5,6000,0.41,-0.891598119283784,8.69951474821019,1.25276296849537,4.56434819146784
24,"Real Estate","Other",10.3089526606443,83,4.1,5900,0.233,-1.45671682541644,8.68270762989381,1.41098697371026,4.4188406077966
41,"Other","Chennai",10.3089526606443,67,3.7,5900,0.253,-1.37436579025462,8.68270762989381,1.30833281965018,4.20469261939097
76,"Other","Bangalore / Bengaluru",8.9226582995244,757,3.6,5900,0.127,-2.06356819252355,8.68270762989381,1.28093384546206,6.62936325343745
177,"Financial Services","Chennai",8.9226582995244,803,3.8,5800,0.12,-2.12026353620009,8.66561319653451,1.33500106673234,6.68835471394676
27,"IT Services & Consulting","Pune",10.3089526606443,31,3.1,5800,0.305,-1.18744350237473,8.66561319653451,1.1314021114911,3.43398720448515
21,"IT Services & Consulting","Other",10.3089526606443,54,3.7,5700,0.554,-0.590590592234853,8.64822145382264,1.30833281965018,3.98898404656427
35,"Internet","Bangalore / Bengaluru",8.9226582995244,367,4,5700,0.166,-1.79576749062559,8.64822145382264,1.38629436111989,5.90536184805457
15,"Financial Services","Bangalore / Bengaluru",8.9226582995244,63,3.9,5600,0.413,-0.884307686021104,8.63052187672324,1.3609765531356,4.14313472639153
28,"Internet","Other",10.3089526606443,168,3.6,5600,0.197,-1.62455155024415,8.63052187672324,1.28093384546206,5.12396397940326
23,"Other","Mumbai",10.3089526606443,242,3.9,5600,0.179,-1.72036947314138,8.63052187672324,1.3609765531356,5.48893772615669
20,"Pharma","Other",10.3089526606443,114,4,5500,0.207,-1.57503648571677,8.61250337122056,1.38629436111989,4.7361984483945
23,"Other","Bangalore / Bengaluru",10.3089526606443,150,4,5400,0.326,-1.12085789761543,8.59415423255237,1.38629436111989,5.01063529409626
40,"Engineering & Construction","Mumbai",8.9226582995244,187,4.1,5400,0.151,-1.89047544216721,8.59415423255237,1.41098697371026,5.23110861685459
33,"Other","Mumbai",10.3089526606443,577,3.9,5400,0.112,-2.18925640768704,8.59415423255237,1.3609765531356,6.3578422665081
24,"Other","Chennai",10.3089526606443,68,3.6,5400,0.414,-0.881889305156823,8.59415423255237,1.28093384546206,4.21950770517611
33,"Internet","Bangalore / Bengaluru",10.3089526606443,136,3.9,5400,0.185,-1.68739945390381,8.59415423255237,1.3609765531356,4.91265488573605
